filename,avgTemperatureC,avgPressureKPa,fluxValue,fluxType,plotID,segSD,avgCO2,avgH2O,r2,aic,param,fluxMethodJustification,fluxDirectionFlag,redo,dayOrNight,r2Flag,segFlag,fluxFlag
data/rawData/LI7500/LI7500_Site 5/5_2800_west_5_night_resp.txt,11.0929576031215,73.0179689966555,-6.18759501102913,resp,2800west5,0.117387107750215,412.527269899666,16.8125214604236,0.995052571154742,-35.4514491952564,co2,checked only linear fit,Looks good!,FALSE,night,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_west_5_day_resp.txt,20.7747574632353,73.0117748897059,-1.04009723546033,resp,2800west5,0,426.908683088235,17.4726894852941,0.881714712434745,56.8398521965198,co2,checked only linear fit,Weird flux! Both positive and negative segments identified,FALSE,day,Looks good!,Looks good!,discard
data/rawData/LI7500/LI7500_Site 5/5_2800_west_4_night_resp.txt,11.0689333333333,73.0152710526316,-2.82258729308755,resp,2800west4,0,411.673964912281,17.0635710526316,0.798647826629706,363.57721423004,co2,checked only linear fit,Looks good!,FALSE,night,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_west_4_day_resp.txt,20.452423141655,72.9909523141655,-4.76235950712928,resp,2800west4,0.0241454232714742,416.353085086489,15.5249584385227,0.823768736564675,61.2662079441609,co2,checked only linear fit,Looks good!,FALSE,day,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_west_3_night_resp.txt,10.9329931034483,73.0068405172414,,resp,2800west3,0,410.749086206897,16.8332905172414,,,co2,checked only linear fit,Looks good!,FALSE,night,,,
data/rawData/LI7500/LI7500_Site 5/5_2800_west_3_day_resp.txt,19.5687975840336,72.9901134453782,-5.90240093050678,resp,2800west3,1.49426444107414,424.042132615546,15.8189335871849,0.935063191899868,35.4092154922778,co2,checked only linear fit,Looks good!,FALSE,day,Looks good!,"Not good, segments are extremely variable. Suggest to discard",discard
data/rawData/LI7500/LI7500_Site 5/5_2800_west_2_night_resp.txt,10.8374607095217,72.9995096447201,-6.57458314717536,resp,2800west2,0.446550226421867,412.501021238938,17.3185919227675,0.989037085837662,-14.7055480876857,co2,checked only linear fit,Looks good!,FALSE,night,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_west_2_day_resp.txt,21.4393309513742,72.9755909090909,-4.52699597258884,resp,2800west2,0,428.97403875969,18.9594286821705,0.93104548050638,45.6769492504722,co2,checked only linear fit,Looks good!,FALSE,day,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_west_1_night_resp.txt,10.2864894815869,72.990564084197,-4.32692229472251,resp,2800west1,0.477149013124476,409.519268097044,17.1621431523629,0.977635331462308,-23.3994510190502,co2,checked only linear fit,Looks good!,FALSE,night,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_west_1_day_resp.txt,23.0036917134986,72.9763465013774,-11.860090269127,resp,2800west1,0.407287293526769,426.234701157025,21.0506942479339,0.987304033290862,129.34277694863,co2,checked only linear fit,Looks good!,FALSE,day,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_east_5_night_resp.txt,10.3021750930997,73.1323587732749,-2.59520005883232,resp,2800east5,0.149800701202872,414.90615618839,17.8249095290252,0.887152592138754,16.6592949871401,co2,checked only linear fit,Looks good!,FALSE,night,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_east_5_day_resp.txt,22.0707421503608,73.1212513095996,-7.17419543649017,resp,2800east5,0.995405465190177,422.921546883843,20.6123109728707,0.954149384663737,54.2343143923265,co2,checked only linear fit,Looks good!,FALSE,day,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_east_4_night_resp.txt,10.4933115910334,73.1294376708584,3.67442765744211,resp,2800east4,1.0892703069528,421.717669218152,18.1159761071624,0.814111656627665,23.5488665541608,co2,checked only linear fit,Looks good!,FALSE,night,Looks good!,"Not good, segments are extremely variable. Suggest to discard",discard
data/rawData/LI7500/LI7500_Site 5/5_2800_east_4_day_resp.txt,21.3240825229781,73.1249189521109,-5.11052346739094,resp,2800east4,0.942353356584556,421.057958695557,17.0228300811738,0.945515014453887,-9.3360909520572,co2,checked only linear fit,Looks good!,FALSE,day,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_east_3_night_resp.txt,10.5048509803922,73.1255392156863,-2.94594305271919,resp,2800east3,0,420.44831372549,18.1875431372549,0.79390086336037,89.4059592450238,co2,checked only linear fit,Weird flux! Both positive and negative segments identified,FALSE,night,Looks good!,Looks good!,discard
data/rawData/LI7500/LI7500_Site 5/5_2800_east_3_day_resp.txt,23.7604534825871,73.1167277690495,-10.7269248905351,resp,2800east3,2.23580146919069,447.763472636816,19.4132098455093,0.965652789014235,136.053511584574,co2,checked only linear fit,Looks good!,FALSE,day,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_east_2_night_resp.txt,10.5219193847294,73.1208943661972,-1.97052664995771,resp,2800east2,0.64805682567707,444.684541759328,17.2882514208055,0.938503738858289,-47.4433417366089,co2,checked only linear fit,Looks good!,FALSE,night,Looks good!,"Not good, segments are extremely variable. Suggest to discard",discard
data/rawData/LI7500/LI7500_Site 5/5_2800_east_2_day_resp.txt,23.3759238486842,73.1265409539474,-15.2308152076717,resp,2800east2,6.67147481733148,447.735933388158,18.9277947642544,0.928803252704325,255.958958576176,co2,checked only linear fit,Looks good!,FALSE,day,Looks good!,"Not good, segments are extremely variable. Suggest to discard",discard
data/rawData/LI7500/LI7500_Site 5/5_2800_east_1_night_resp.txt,10.3971063480496,73.1121530973112,-5.29861182554387,resp,2800east1,0.476159869519583,433.807016857811,17.8308040854781,0.952327643619658,23.5938460669648,co2,checked only linear fit,Looks good!,FALSE,night,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_east_1_day_resp.txt,21.7812004034657,73.1351845179811,-8.76297825172332,resp,2800east1,1.21696733418849,437.065494707448,16.9751375604155,0.949476887882969,75.3054145192332,co2,checked only linear fit,Looks good!,FALSE,day,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 4/4_2600_west_5_night_resp.txt,12.7640560544218,74.9917142857143,-7.77510873109021,resp,2600west5,1.71326339079039,420.517900680272,20.0835930612245,0.983960012080824,9.03348977412621,co2,checked only linear fit,Weird flux! Both positive and negative segments identified,FALSE,night,Looks good!,Looks good!,discard
data/rawData/LI7500/LI7500_Site 4/4_2600_west_5_day_resp.txt,19.3360171471292,74.8605801824163,-6.27355520381723,resp,2600west5,0.81235907620116,403.906786009769,21.8323238596491,0.954184798102411,26.8986082410842,co2,checked only linear fit,Looks good!,FALSE,day,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 4/4_2600_west_4_night_resp.txt,12.788725,74.996609375,-2.85371967972425,resp,2600west4,0,423.6183125,19.49735,0.737453273944777,35.4516325743525,co2,checked only linear fit,Weird flux! Both positive and negative segments identified,FALSE,night,"Be careful, R2 is suspiciously low",Looks good!,discard
data/rawData/LI7500/LI7500_Site 4/4_2600_west_4_day_resp.txt,18.2041434536638,74.864683276691,-5.47265846746261,resp,2600west4,0.510147395656295,405.497711144728,21.0970743741711,0.88472393765777,64.4094708710592,co2,checked only linear fit,Looks good!,FALSE,day,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 4/4_2600_west_3_night_resp.txt,12.8468450980392,74.9866431372549,-5.96452222118233,resp,2600west3,0,417.504490196078,19.7557666666667,0.907438112635348,111.990486745477,co2,checked only linear fit,Weird flux! Both positive and negative segments identified,FALSE,night,Looks good!,Looks good!,discard
