filename,avgTemperatureC,avgPressureKPa,fluxValue,fluxType,plotID,segSD,avgCO2,avgH2O,r2,aic,param,fluxMethodJustification,fluxDirectionFlag,redo,dayOrNight,totalRsq,r2Flag,segFlag,fluxFlag
data/rawData/LI7500/LI7500_Site 5/5_2800_west_5_night_resp.txt,11.0673894736842,73.016152631579,1.38652380708085,resp,2800west5,0,406.977815789474,16.2131157894737,0.993645860011762,-151.979347258399,h2o,checked only linear fit,Looks good!,FALSE,night,0.00989708975426516,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_west_5_day_resp.txt,20.7106598308668,73.0124353770261,1.09297239936342,resp,2800west5,0.552352348904563,426.740864693446,17.357143516561,0.913947780526747,-81.4162093903539,h2o,checked only linear fit,Looks good!,FALSE,day,0.0206038909872918,Looks good!,"Not good, segments are extremely variable. Suggest to discard",discard
data/rawData/LI7500/LI7500_Site 5/5_2800_west_4_night_resp.txt,11.0689333333333,73.0152710526316,0.468831429783548,resp,2800west4,0,411.673964912281,17.0635710526316,0.876611791914991,-112.167127460973,h2o,checked only linear fit,Looks good!,FALSE,night,0.00768957712206133,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_west_4_day_resp.txt,20.452423141655,72.9909523141655,1.01337939659165,resp,2800west4,0.274517231032928,416.353085086489,15.5249584385227,0.913076993702079,-71.0317886678938,h2o,checked only linear fit,Looks good!,FALSE,day,0.0194529150584779,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_west_3_night_resp.txt,11.0031642857143,73.008125,-0.950041657454235,resp,2800west3,0,411.751803571429,16.3625089285714,0.998715838114403,-315.544527746552,h2o,checked only linear fit,Looks good!,FALSE,night,0.014635910442626,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_west_3_day_resp.txt,19.5687975840336,72.9901134453782,1.43476031074073,resp,2800west3,0.398683659227357,424.042132615546,15.8189335871849,0.958198867117392,-89.2027088606402,h2o,checked only linear fit,Looks good!,FALSE,day,0.023960628339143,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_west_2_night_resp.txt,10.8374607095217,72.9995096447201,0.703618547275516,resp,2800west2,0.197612953895076,412.501021238938,17.3185919227675,0.929173929736592,-198.828155428987,h2o,checked only linear fit,Looks good!,FALSE,night,0.0249314570881265,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_west_2_day_resp.txt,21.4191814071146,72.9755079841897,1.19005219085119,resp,2800west2,0.182717955864465,426.42568115942,18.4878857971014,0.892429705821131,-83.4804118864911,h2o,checked only linear fit,Looks good!,FALSE,day,0.0238555794418712,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_west_1_night_resp.txt,10.2867052631579,72.9905350877193,,resp,2800west1,0,409.550929824561,17.1621833333333,,,h2o,checked only linear fit,Weird flux! Both positive and negative segments identified,FALSE,night,0.0139407544663551,,,discard
data/rawData/LI7500/LI7500_Site 5/5_2800_west_1_day_resp.txt,23.0036917134986,72.9763465013774,2.25195580347085,resp,2800west1,0.125914115399005,426.234701157025,21.0506942479339,0.988021953836653,-96.0307109496546,h2o,checked only linear fit,Looks good!,FALSE,day,0.0163495758487361,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_east_5_night_resp.txt,10.3140859649123,73.132,,resp,2800east5,0,415.648464912281,17.8301228070175,,,h2o,checked only linear fit,Weird flux! Both positive and negative segments identified,FALSE,night,0.00609473446613134,,,discard
data/rawData/LI7500/LI7500_Site 5/5_2800_east_5_day_resp.txt,22.0707421503608,73.1212513095996,2.0128748027621,resp,2800east5,0.451145298797053,422.921546883843,20.6123109728707,0.980019518423034,-79.777380974283,h2o,checked only linear fit,Looks good!,FALSE,day,0.0257525887799136,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_east_4_night_resp.txt,10.4961236842105,73.1311824561404,,resp,2800east4,0,420.670535087719,18.0910149122807,,,h2o,checked only linear fit,Looks good!,FALSE,night,0.013501041883782,,,
data/rawData/LI7500/LI7500_Site 5/5_2800_east_4_day_resp.txt,21.3240825229781,73.1249189521109,1.74361616035205,resp,2800east4,0.195049571260738,421.057958695557,17.0228300811738,0.988812161590017,-122.681588166415,h2o,checked only linear fit,Looks good!,FALSE,day,0.026223333325983,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_east_3_night_resp.txt,10.4762607843137,73.1253176470588,0.0918904016804672,resp,2800east3,0,419.54962745098,18.1362284313725,0.848532441724549,-289.682361486154,h2o,checked only linear fit,Weird flux! Both positive and negative segments identified,FALSE,night,0.0137490564087202,Looks good!,Looks good!,discard
data/rawData/LI7500/LI7500_Site 5/5_2800_east_3_day_resp.txt,23.7604534825871,73.1167277690495,1.93510438153054,resp,2800east3,0.195326060824729,447.763472636816,19.4132098455093,0.989899094636224,-139.646568871105,h2o,checked only linear fit,Looks good!,FALSE,day,0.0173509384655576,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_east_2_night_resp.txt,10.5219193847294,73.1208943661972,0.110933215988031,resp,2800east2,0.0013951957364357,444.684541759328,17.2882514208055,0.92705374410903,-347.240134021005,h2o,checked only linear fit,Looks good!,FALSE,night,0.0163188888118136,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_east_2_day_resp.txt,23.3759238486842,73.1265409539474,1.8077834603472,resp,2800east2,0.646506485845532,447.735933388158,18.9277947642544,0.970903226372169,-90.9838465604112,h2o,checked only linear fit,Looks good!,FALSE,day,0.0167627395906596,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_east_1_night_resp.txt,10.3971063480496,73.1121530973112,-0.26397818400759,resp,2800east1,0.0400344096665811,433.807016857811,17.8308040854781,0.949225794658675,-243.090168344466,h2o,checked only linear fit,Looks good!,FALSE,night,0.0242706338641244,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 5/5_2800_east_1_day_resp.txt,21.7812004034657,73.1351845179811,1.50427393736925,resp,2800east1,0.104312130384152,437.065494707448,16.9751375604155,0.976300581503754,-98.9161794762392,h2o,checked only linear fit,Looks good!,FALSE,day,0.0254571229050395,Looks good!,Looks good!,keep
data/rawData/LI7500/LI7500_Site 4/4_2600_west_5_night_resp.txt,12.7640560544218,74.9917142857143,0.111284152976566,resp,2600west5,0.0213870486411463,420.517900680272,20.0835930612245,0.845665155572039,-219.556252466214,h2o,checked only linear fit,Looks good!,FALSE,night,0.020558515307513,Looks good!,Looks good!,keep
