"","filename","site","elevation","aspect","plot","day.night","redo","measurement","camb","tav","pav","flux_value_original","rsqd","aic_lm","c_prime_min","c_prime_max","comment","extra_info","flux","pairID","flag","flux_value"
"1","raw_data/LI7500/All_sites/1_2000_east_1_day_photo.txt",1,2000,"east",1,"day",NA,"photo",414311683307906,220538166666667,800875809523809,"2.58093315500583","0.906841783805734",132002320365158,380631741470632,413618829289851,NA,NA,"NEE","1_east_1_day_NEE","okay","2.58093315500583"
"2","raw_data/LI7500/All_sites/1_2000_east_2_day_photo.txt",1,2000,"east",2,"day",NA,"photo",418954428655942,236291522513767,801236474327826,"2.9609581064711","0.714319685935719",207396150224502,403333241495944,414337633926338,NA,NA,"NEE","1_east_2_day_NEE","okay","2.9609581064711"
"3","raw_data/LI7500/All_sites/1_2000_east_3_day_photo.txt",1,2000,"east",3,"day",NA,"photo",416443646889792,244026887352409,801293565259015,"1.1201606814968","0.707519579944692",-492840808789862,405375694005281,409577277050212,NA,NA,"NEE","1_east_3_day_NEE","okay","1.1201606814968"
"4","raw_data/LI7500/All_sites/1_2000_east_4_day_photo.txt",1,2000,"east",4,"day",NA,"photo",41778674607001,247261957650273,80130141084268,"5.3006098086663","0.868928403998235",808586642069002,408892713580935,427269435947452,NA,NA,"NEE","1_east_4_day_NEE","okay","5.3006098086663"
"5","raw_data/LI7500/All_sites/1_2000_east_5_day_photo.txt",1,2000,"east",5,"day",NA,"photo",417316571323464,249090839651639,801338956454918,"1.37007413878481","0.689544134580748",105106330350991,407479372092888,414298402059853,NA,NA,"NEE","1_east_5_day_NEE","okay","1.37007413878481"
"6","raw_data/LI7500/All_sites/1_2000_west_1_day_photo.txt",1,2000,"west",1,"day",NA,"photo",411913437083609,206406449867947,799980169027611,"0.406644470462638","0.468044789758046",241643291676362,40840161824487,410545979147595,NA,NA,"NEE","1_west_1_day_NEE","okay","0.406644470462638"
"7","raw_data/LI7500/All_sites/1_2000_west_2_day_photo.txt",1,2000,"west",2,"day",NA,"photo",411716053092881,20491913542062,799956958106684,"-3.35816113466521","0.813634261526214",56169406013817,408473597691617,418480622022423,"Should not be negative","its increasing, changed it to 5-15, but should be removed","NEE","1_west_2_day_NEE","increasing_ER",NA
"8","raw_data/LI7500/All_sites/1_2000_west_2_day_redo_photo.txt",1,2000,"west",2,"day","redo","photo",412066791649391,210517832053973,799955606346675,"-2.62265046351805","0.779489719250502",544335501799086,411510636883733,420501162466892,"Should not be negative","increasing, keep the redo","NEE","1_west_2_day_NEE","discard_this_keep_other_reading",NA
"9","raw_data/LI7500/All_sites/1_2000_west_3_day_photo.txt",1,2000,"west",3,"day",NA,"photo",409790583488097,197363723212991,799843287006506,"-0.371456021688421","0.544525122880601",-110592363857024,407585634297424,409564788506333,NA,NA,"NEE","1_west_3_day_NEE","high_aic_discard_this_keep_other_reading",NA
"10","raw_data/LI7500/All_sites/1_2000_west_3_day_redo_photo.txt",1,2000,"west",3,"day","redo","photo",410891027180265,204093772230691,799867599593496,"1.07119309428075","0.640593895515293",-350384007895827,408174378913881,411351672727143,NA,NA,"NEE","1_west_3_day_NEE","okay","1.07119309428075"
